device_number,hoursfloor,poke_reward,count,mode,sex,days
5,-28,pellet,3,Empty,f,-2
5,-27,pellet,6,Empty,f,-2
5,-26,pellet,1,Empty,f,-2
5,-25,pellet,4,Empty,f,-2
5,-24,pellet,6,Empty,f,-1
5,-23,pellet,3,Empty,f,-1
5,-22,pellet,8,Empty,f,-1
5,-21,pellet,7,Empty,f,-1
5,-20,pellet,7,Empty,f,-1
5,-19,pellet,10,Empty,f,-1
5,-18,pellet,11,Empty,f,-1
5,-17,pellet,10,Empty,f,-1
5,-16,pellet,13,Empty,f,-1
5,-15,pellet,15,Empty,f,-1
5,-14,pellet,16,Empty,f,-1
5,-13,pellet,10,Empty,f,-1
5,-12,pellet,11,Empty,f,-1
5,-11,pellet,11,Empty,f,-1
5,-10,pellet,2,Empty,f,-1
5,-9,pellet,16,Empty,f,-1
5,-8,pellet,2,Empty,f,-1
5,-7,pellet,8,Empty,f,-1
5,-6,pellet,8,Empty,f,-1
5,-5,pellet,9,Empty,f,-1
5,-4,pellet,0,Empty,f,-1
5,-3,pellet,6,Empty,f,-1
5,-2,pellet,10,Empty,f,-1
5,-1,pellet,0,Empty,f,-1
5,0,pellet,5,Social,f,0
5,1,pellet,3,Social,f,0
5,2,pellet,4,Social,f,0
5,3,pellet,7,Social,f,0
5,4,pellet,2,Social,f,0
5,5,pellet,15,Social,f,0
5,6,pellet,10,Social,f,0
5,7,pellet,19,Social,f,0
5,8,pellet,14,Social,f,0
5,9,pellet,19,Social,f,0
5,10,pellet,15,Social,f,0
5,11,pellet,12,Social,f,0
5,12,pellet,7,Social,f,0
5,13,pellet,11,Social,f,0
5,14,pellet,5,Social,f,0
5,15,pellet,9,Social,f,0
5,16,pellet,8,Social,f,0
5,17,pellet,4,Social,f,0
5,18,pellet,4,Social,f,0
5,19,pellet,8,Social,f,0
5,20,pellet,5,Social,f,0
5,21,pellet,4,Social,f,0
5,22,pellet,6,Social,f,0
5,23,pellet,3,Social,f,0
5,24,pellet,6,Social,f,1
5,25,pellet,12,Social,f,1
5,26,pellet,4,Social,f,1
5,27,pellet,1,Social,f,1
5,28,pellet,7,Social,f,1
5,29,pellet,4,Social,f,1
5,30,pellet,16,Social,f,1
5,31,pellet,11,Social,f,1
5,32,pellet,12,Social,f,1
5,33,pellet,12,Social,f,1
5,34,pellet,16,Social,f,1
5,35,pellet,14,Social,f,1
5,36,pellet,11,Social,f,1
5,37,pellet,5,Social,f,1
5,38,pellet,5,Social,f,1
5,39,pellet,10,Social,f,1
5,40,pellet,6,Social,f,1
5,41,pellet,7,Social,f,1
5,42,pellet,0,Social,f,1
5,43,pellet,5,Social,f,1
5,44,pellet,4,Social,f,1
5,45,pellet,4,Social,f,1
5,46,pellet,7,Social,f,1
5,47,pellet,5,Social,f,1
5,48,pellet,6,Social,f,2
5,49,pellet,3,Social,f,2
5,50,pellet,5,Social,f,2
5,51,pellet,12,Social,f,2
5,52,pellet,3,Social,f,2
5,53,pellet,11,Social,f,2
5,54,pellet,9,Social,f,2
5,55,pellet,17,Social,f,2
5,56,pellet,13,Social,f,2
5,57,pellet,15,Social,f,2
5,58,pellet,12,Social,f,2
5,59,pellet,7,Social,f,2
5,60,pellet,7,Social,f,2
5,61,pellet,17,Social,f,2
5,62,pellet,3,Social,f,2
5,63,pellet,2,Social,f,2
5,64,pellet,11,Social,f,2
5,65,pellet,7,Social,f,2
5,66,pellet,0,Social,f,2
5,67,pellet,5,Social,f,2
5,68,pellet,2,Social,f,2
5,69,pellet,4,Social,f,2
5,70,pellet,1,Social,f,2
5,71,pellet,5,Social,f,2
6,-48,pellet,0,Empty,f,-2
6,-47,pellet,0,Empty,f,-2
6,-46,pellet,23,Empty,f,-2
6,-45,pellet,13,Empty,f,-2
6,-44,pellet,17,Empty,f,-2
6,-43,pellet,11,Empty,f,-2
6,-42,pellet,13,Empty,f,-2
6,-41,pellet,19,Empty,f,-2
6,-40,pellet,12,Empty,f,-2
6,-39,pellet,18,Empty,f,-2
6,-38,pellet,15,Empty,f,-2
6,-37,pellet,15,Empty,f,-2
6,-36,pellet,9,Empty,f,-2
6,-35,pellet,2,Empty,f,-2
6,-34,pellet,6,Empty,f,-2
6,-33,pellet,6,Empty,f,-2
6,-32,pellet,8,Empty,f,-2
6,-31,pellet,6,Empty,f,-2
6,-30,pellet,7,Empty,f,-2
6,-29,pellet,7,Empty,f,-2
6,-28,pellet,4,Empty,f,-2
6,-27,pellet,5,Empty,f,-2
6,-26,pellet,5,Empty,f,-2
6,-25,pellet,3,Empty,f,-2
6,0,pellet,0,Social,f,0
6,1,pellet,8,Social,f,0
6,2,pellet,26,Social,f,0
6,3,pellet,21,Social,f,0
6,4,pellet,13,Social,f,0
6,5,pellet,9,Social,f,0
6,6,pellet,9,Social,f,0
6,7,pellet,18,Social,f,0
6,8,pellet,16,Social,f,0
6,9,pellet,24,Social,f,0
6,10,pellet,11,Social,f,0
6,11,pellet,10,Social,f,0
6,12,pellet,15,Social,f,0
6,13,pellet,14,Social,f,0
6,14,pellet,4,Social,f,0
6,15,pellet,4,Social,f,0
6,16,pellet,9,Social,f,0
6,17,pellet,2,Social,f,0
6,18,pellet,3,Social,f,0
6,19,pellet,4,Social,f,0
6,20,pellet,0,Social,f,0
6,21,pellet,4,Social,f,0
6,22,pellet,2,Social,f,0
6,23,pellet,3,Social,f,0
6,24,pellet,4,Social,f,1
6,25,pellet,5,Social,f,1
6,26,pellet,4,Social,f,1
6,27,pellet,3,Social,f,1
6,28,pellet,9,Social,f,1
6,29,pellet,13,Social,f,1
6,30,pellet,12,Social,f,1
6,31,pellet,16,Social,f,1
6,32,pellet,17,Social,f,1
6,33,pellet,19,Social,f,1
6,34,pellet,18,Social,f,1
6,35,pellet,9,Social,f,1
6,36,pellet,13,Social,f,1
6,37,pellet,5,Social,f,1
6,38,pellet,14,Social,f,1
6,39,pellet,14,Social,f,1
6,40,pellet,3,Social,f,1
6,41,pellet,0,Social,f,1
6,42,pellet,4,Social,f,1
6,43,pellet,6,Social,f,1
6,44,pellet,3,Social,f,1
6,45,pellet,11,Social,f,1
6,46,pellet,0,Social,f,1
6,47,pellet,9,Social,f,1
6,48,pellet,1,Social,f,2
6,49,pellet,7,Social,f,2
6,50,pellet,1,Social,f,2
6,51,pellet,8,Social,f,2
6,52,pellet,11,Social,f,2
6,53,pellet,7,Social,f,2
6,54,pellet,19,Social,f,2
6,55,pellet,13,Social,f,2
6,56,pellet,22,Social,f,2
6,57,pellet,24,Social,f,2
6,58,pellet,24,Social,f,2
6,59,pellet,17,Social,f,2
6,60,pellet,13,Social,f,2
6,61,pellet,2,Social,f,2
6,62,pellet,9,Social,f,2
6,63,pellet,20,Social,f,2
6,64,pellet,3,Social,f,2
6,65,pellet,0,Social,f,2
6,66,pellet,0,Social,f,2
6,67,pellet,0,Social,f,2
6,68,pellet,0,Social,f,2
6,69,pellet,5,Social,f,2
6,70,pellet,6,Social,f,2
6,71,pellet,16,Social,f,2
7,-72,pellet,0,Empty,f,-3
7,-71,pellet,0,Empty,f,-3
7,-70,pellet,6,Empty,f,-3
7,-69,pellet,2,Empty,f,-3
7,-68,pellet,8,Empty,f,-3
7,-67,pellet,8,Empty,f,-3
7,-66,pellet,10,Empty,f,-3
7,-65,pellet,9,Empty,f,-3
7,-64,pellet,11,Empty,f,-3
7,-63,pellet,10,Empty,f,-3
