Time,553,549,561,EB0,E95,EA2,E94,E8D
1/15/2025 11:00,5.37,1.8,0.61,33.6,21.5,7.4,15.8,14.3
1/15/2025 12:00,3.59,2.38,8.3,31.6,1.57,0.117,6.01,4.81
1/15/2025 13:00,0.997,0.8,1.45,11,0.869,0.0615,0.68,1.34
1/15/2025 14:00,2.16,1.4,0.544,10.5,10.6,12.6,5.68,0.157
1/15/2025 15:00,0.625,3.68,3.81,0.975,0.275,0.0655,14.5,12.5
1/15/2025 16:00,16.9,11.8,8.87,33.5,39.2,22.3,14.5,23.2
1/15/2025 17:00,3.54,4,0.944,2.73,2.54,16.2,2.81,5.59
1/15/2025 18:00,8.81,17.5,11.5,24.5,22.3,12.3,20.1,27.4
1/15/2025 19:00,13,10.7,4,52.7,24.8,34.2,41.4,34.8
1/15/2025 20:00,6.52,1.45,3.24,52.8,30.5,33.5,24.4,12.9
1/15/2025 21:00,5.39,19.8,14.3,51.5,21.1,14,42.9,38.7
1/15/2025 22:00,26.9,24.2,7.59,12,25.2,2.13,33.1,4.6
1/15/2025 23:00,23.2,17.7,23.9,14.1,23.7,6.91,6.24,46.4
1/16/2025 0:00,4.62,10.8,26.2,53.9,29.4,10.4,35.2,44.4
1/16/2025 1:00,11.1,8.36,3.06,42.6,28.9,0.0369,32.5,9.8
1/16/2025 2:00,20.7,10.7,3.69,0.331,25.2,15.4,0.0655,4.1
1/16/2025 3:00,12.5,8.08,28.5,1.33,23.5,7.03,1.32,31.8
1/16/2025 4:00,13.8,26.3,4.76,43,14,31.8,9.88,42.8
1/16/2025 5:00,32.5,35.4,23.6,55.7,38,55.3,48.9,54.4
1/16/2025 6:00,1,9.58,13.5,48.4,7.37,35.3,37.2,50.6
1/16/2025 7:00,3.45,0.0244,1.13,4.64,4.22,2.06,11.8,19.9
1/16/2025 8:00,4.27,0.256,0.0244,1.71,0.55,0.101,0.744,0.782
1/16/2025 9:00,0.192,2.55,0.0244,19.2,1.97,0.0244,0.0244,0.817
1/16/2025 10:00,0.178,10.6,4.42,0.486,1.04,0.754,16.8,1.72
1/16/2025 11:00,0.0859,0.641,0.0244,6.76,3.72,2.13,1.32,0.556
1/16/2025 12:00,0.0244,0.488,0.0244,0.0341,0.858,0.0244,0.759,2.4
1/16/2025 13:00,3.97,5.02,4.23,0.0714,10.1,2.83,0.0244,0.209
1/16/2025 14:00,4.85,0.0244,0.0244,19.7,1.27,24.3,12.9,18.8
1/16/2025 15:00,1.05,0.994,1.3,0.109,6.62,0.0244,1.37,4.87
1/16/2025 16:00,0.101,1.76,1.88,7.54,0.082,3.26,0.0244,0.434
1/16/2025 17:00,6.59,0.224,0.506,7.49,1.8,1.9,4.68,9.54
1/16/2025 18:00,1.85,9.47,22.2,25.3,17.9,9.48,18.9,11.2
1/16/2025 19:00,16.3,5.41,9.79,16,26.3,17.4,24.4,36.4
1/16/2025 20:00,3.55,1.16,15.6,50.9,20.5,21.4,36.1,38.6
1/16/2025 21:00,22.3,13.5,2.17,53,29,33.3,22.8,1.87
1/16/2025 22:00,25.1,30,24.4,47.2,40.7,21.1,37.1,34.6
1/16/2025 23:00,17.5,41.5,25,59.9,17.5,24.9,41.2,45.5
1/17/2025 0:00,26.2,3.35,20.8,58.6,36.6,1.99,47.4,11.3
1/17/2025 1:00,15.4,8.06,5.22,54.6,10.5,2.01,35.2,1.31
1/17/2025 2:00,18.2,12.5,7.41,34.2,32.5,4.29,45.3,19.5
1/17/2025 3:00,22.2,12.7,17,2.93,21.7,3.94,30.1,33
1/17/2025 4:00,28.9,8.1,16.9,1.8,17.6,33.5,33.4,40.1
1/17/2025 5:00,21,29.8,31.5,58.1,31.5,51.9,42.9,57.4
1/17/2025 6:00,14.9,25,0.308,50.9,11.6,31.2,0.0244,30.7
1/17/2025 7:00,0.0982,2.5,0.0244,14.9,2.39,1.76,6.2,0.905
1/17/2025 8:00,0.648,0.131,0.0244,19.7,7.8,0.147,21.7,0.383
1/17/2025 9:00,3.62,0.0402,3.6,6.68,3.55,0.114,0.0244,0.0244
1/17/2025 10:00,2.18,0.0244,0.0244,1.95,1.49,0.0244,0.0244,3.02
1/17/2025 11:00,0.0244,1.59,8.34,5.55,0.868,6.47,0.0244,0.175
1/17/2025 12:00,0.718,0.0244,0.0244,0.917,5.53,0.0244,3.61,0.101
1/17/2025 13:00,2.4,0.203,0.0244,10,15.6,4.44,4.34,5.99
1/17/2025 14:00,1.8,1.7,7.43,22.7,0.145,0.0244,0.0244,0.147
1/17/2025 15:00,5.59,0.452,2.1,0.0629,0.936,0.308,14.2,8.55
1/17/2025 16:00,5.73,1.9,7.67,12.8,8.84,13.6,10.8,14.9
1/17/2025 17:00,0.816,0.0244,0.534,3.72,1.25,1.94,0.0244,0.875
1/17/2025 18:00,6.43,3.07,9.23,16.9,15.7,8.13,14.5,12.8
1/17/2025 19:00,6.39,1.3,2.54,20.1,14.9,32.7,19.2,13.1
1/17/2025 20:00,4.44,0.539,5.36,14.4,9.67,29.4,11.2,1.1
1/17/2025 21:00,11.3,8.66,3.26,60.4,22.2,22.5,21.8,21.3
1/17/2025 22:00,8.17,19.1,8.04,8.05,17.5,13.6,21.6,17.3
